color_dropoff,color_main,color_pickup,created_at,id,name,updated_at
#808080,#808080,#808080,2023-12-18 11:46:30,1,unassigned,2023-12-18 11:46:30
#3d85c6,#3d85c6,#3d85c6,2023-12-18 11:46:30,2,assigned,2023-12-18 11:46:30
#d9ead3,#d9ead3,#d9ead3,2023-12-18 11:46:30,3,accepted,2023-12-18 11:46:30
#274e13,#274e13,#274e13,2023-12-18 11:46:30,4,completed,2023-12-18 11:46:30
#a64d79,#a64d79,#a64d79,2023-12-18 11:46:30,5,declined,2023-12-18 11:46:30
#cc0000,#cc0000,#cc0000,2023-12-18 11:46:30,6,issue,2023-12-18 11:46:30
#7f6000,#7f6000,#7f6000,2023-12-18 11:46:30,7,proposed,2023-12-18 11:46:30
#e69138,#e69138,#e69138,2023-12-18 11:46:30,8,completedwithIssue,2023-12-18 11:46:30
