color_custom,color_dropoff,color_main,color_pickup,color_return,created_at,id,name,updated_at
,#b4c8c8,#c8c8c8,#dcc8c8,,2023-12-19 11:36:13,10,unassigned,2024-02-14 12:00:44
,#808080,#808080,#808080,,2023-12-20 20:42:34,11,request-client,2023-12-20 20:42:34
,#808080,#808080,#808080,,2023-12-20 20:42:50,12,request-neko,2023-12-20 20:42:50
,#fba7b4,#e3e064,#9ba6fd,,2024-02-14 09:09:49,13,assigned,2024-02-18 13:41:20
,#618a14,#16be13,#5dcc2e,,2024-02-15 13:06:01,14,completed,2024-02-15 13:06:01
,#808080,#e5ff24,#808080,,2024-02-15 13:12:29,15,Ongoing - Courier at pickup,2024-02-15 13:24:56
,#808080,#dfef01,#37b800,,2024-02-15 13:12:54,16,Ongoing - POB - (parcel on board),2024-02-15 13:25:21
,#d29614,#b6e218,#07bb46,,2024-02-15 13:13:07,17,Ongoing - Courier - at dropOff,2024-02-15 13:25:49
,#009600,#009600,#009600,,2024-02-15 13:13:28,18,Completed - POD - prof of delivery,2024-02-15 13:26:32
,#808080,#808080,#808080,,2024-02-15 13:13:44,19,Canceled,2024-02-15 13:13:44
,#808080,#808080,#808080,,2024-02-15 13:14:00,20,Undelivered,2024-02-15 13:14:00
