color_dropoff,color_main,color_pickup,created_at,id,name,updated_at
#808080,#808080,#808080,2023-12-17 17:47:11,1,unassigned,2023-12-17 18:46:08
#3d85c6,#3d85c6,#3d85c6,2023-12-17 17:47:11,2,assigned,2023-12-17 17:47:11
#d9ead3,#d9ead3,#d9ead3,2023-12-17 17:47:11,3,accepted,2023-12-17 17:47:11
#274e13,#274e13,#274e13,2023-12-17 17:47:11,4,completed,2023-12-17 17:47:11
#a64d79,#a64d79,#a64d79,2023-12-17 17:47:11,5,declined,2023-12-17 17:47:11
#cc0000,#cc0000,#cc0000,2023-12-17 17:47:11,6,issue,2023-12-17 17:47:11
#7f6000,#7f6000,#7f6000,2023-12-17 17:47:11,7,proposed,2023-12-17 17:47:11
#e69138,#e69138,#e69138,2023-12-17 17:47:11,8,completedwithIssue,2023-12-17 17:47:11
