id,created_at,updated_at,begin_date,end_date,name,display_name,price
1,2024-01-25 14:13:21,2024-01-25 14:13:21,2024-01-22 00:00:00,2024-01-28 23:59:59,job-distance-lessthan-3,Up to 3 miles,200
2,2024-01-25 14:13:21,2024-01-25 14:13:21,2024-01-22 00:00:00,2024-01-28 23:59:59,job-distance-lessthan-5,Up to 3 miles,600
3,2024-01-25 14:13:21,2024-01-25 14:13:21,2024-01-22 00:00:00,2024-01-28 23:59:59,job-distance-eachafter-5,Up to 3 miles,300
4,2024-01-25 14:13:21,2024-01-25 14:13:21,2024-01-22 00:00:00,2024-01-28 23:59:59,job-postalcodezones,Outside of service zone,600
6,2024-02-09 09:56:34,2024-02-09 09:56:34,2024-01-01 00:00:00,2024-12-31 00:00:00,package-oversize,Oversize,200
