id,created_at,updated_at,name
1,2024-11-18 08:47:52,2024-11-18 08:47:52,Au-mnium (aura omnium)
2,2024-11-18 08:47:52,2024-11-18 08:47:52,aE-Omnium (Thomas)
3,2024-11-18 08:47:52,2024-11-18 08:47:52,BeGreen (bullitt #1)
4,2024-11-18 08:47:52,2024-11-18 08:47:52,Purple (omnium)
5,2024-11-18 08:47:52,2024-11-18 08:47:52,Haru (bullitt X #2)
6,2024-11-18 08:47:52,2024-11-18 08:47:52,Koneko (bullitt #3)
7,2024-11-18 08:47:52,2024-11-18 08:47:52,Shiny (josh omnium)
