id,created_at,updated_at,name
1,2024-11-18 17:02:36,2024-11-18 17:02:36,Au-mnium (aura omnium)
2,2024-11-18 17:02:36,2024-11-18 17:02:36,aE-Omnium (Thomas)
3,2024-11-18 17:02:36,2024-11-18 17:02:36,BeGreen (bullitt #1)
4,2024-11-18 17:02:36,2024-11-18 17:02:36,Purple (omnium)
5,2024-11-18 17:02:36,2024-11-18 17:02:36,Haru (bullitt X #2)
6,2024-11-18 17:02:36,2024-11-18 17:02:36,Koneko (bullitt #3)
7,2024-11-18 17:02:36,2024-11-18 17:02:36,Shiny (josh omnium)
