id,created_at,updated_at,origin_address,destination_address,origin_lat,origin_lng,destination_lat,destination_lng,mode_of_travel,distance
1,2024-11-04 14:57:46,2024-11-04 14:57:46,Flat 22 Bakersfield Crayford Road N7 0LT London Uk,UK London N15 4QN Unit 10  The Archives,,,,,walking,6122
2,2024-11-14 13:57:46,2024-11-14 13:57:46,68 Mountgrove Rd N5 2LT London UK,UK London N1 6TA 151-155 New N Rd,,,,,walking,3497
3,2024-11-14 14:45:56,2024-11-14 14:45:56,Flat 22 Bakersfield Crayford Road N7 0LT London Uk,Uk London N1 8eg 108 Islington High Street,,,,,walking,3792
4,2024-11-17 15:22:21,2024-11-17 15:22:21,62 Chatsworth Road E5 0LS London UK,UK London N1 7GW 21 Parr Street,,,,,walking,4748
5,2024-11-17 15:25:13,2024-11-17 15:25:13,48 St Paul's Road N1 2QW London UK,UK London SW1H 0PY 23 Caxton Street,,,,,,walking,7310
6,2024-11-17 15:33:47,2024-11-17 15:33:47,68 Mountgrove Rd N5 2LT London UK,UK London N1 9RY 2-4 Wharfdale Rd,,,,,walking,4120
7,2024-11-17 16:03:21,2024-11-17 16:03:21,52 Floral St, London WC2E 9DA London UK,UK London WC2E 9HE 15 Bedford St,,,,,walking,441
8,2024-11-17 16:45:54,2024-11-17 16:45:54,52 Floral St, London WC2E 9DA London UK,UK London WC2E 9HE 15 Bedford St, London,,,,,walking,441
