id,created_at,updated_at,origin_address,destination_address,origin_lat,origin_lng,destination_lat,destination_lng,mode_of_travel,distance
1,2024-11-04 14:57:46,2024-11-04 14:57:46,Flat 22 Bakersfield Crayford Road N7 0LT London Uk,UK London N15 4QN Unit 10  The Archives,,,,,walking,6122
2,2024-11-14 13:57:46,2024-11-14 13:57:46,68 Mountgrove Rd N5 2LT London UK,UK London N1 6TA 151-155 New N Rd,,,,,walking,3497
3,2024-11-14 14:45:56,2024-11-14 14:45:56,Flat 22 Bakersfield Crayford Road N7 0LT London Uk,Uk London N1 8eg 108 Islington High Street,,,,,walking,3792
