created_at,id,name,updated_at
2024-11-15 18:04:46,1,Au-mnium (aura omnium),2024-11-15 18:04:46
2024-11-15 18:04:46,2,aE-Omnium (Thomas),2024-11-15 18:04:46
2024-11-15 18:04:46,3,BeGreen (bullitt #1),2024-11-15 18:04:46
2024-11-15 18:04:46,4,Purple (omnium),2024-11-15 18:04:46
2024-11-15 18:04:46,5,Haru (bullitt X #2),2024-11-15 18:04:46
2024-11-15 18:04:46,6,Koneko (bullitt #3),2024-11-15 18:04:46
2024-11-15 18:04:46,7,Shiny (josh omnium),2024-11-15 18:04:46
