id,created_at,updated_at,name
1,2024-11-04 08:30:01,2024-11-04 08:30:01,Au-mnium (aura omnium)
2,2024-11-04 08:30:01,2024-11-04 08:30:01,aE-Omnium (Thomas)
3,2024-11-04 08:30:01,2024-11-04 08:30:01,BeGreen (bullitt #1)
4,2024-11-04 08:30:01,2024-11-04 08:30:01,Purple (omnium)
5,2024-11-04 08:30:01,2024-11-04 08:30:01,Haru (bullitt X #2)
6,2024-11-04 08:30:01,2024-11-04 08:30:01,Koneko (bullitt #3)
7,2024-11-04 08:30:01,2024-11-04 08:30:01,Shiny (josh omnium)
