created_at,id,name,updated_at
2024-10-25 09:58:03,1,Au-mnium (aura omnium),2024-10-25 09:58:03
2024-10-25 09:58:03,2,aE-Omnium (Thomas),2024-10-25 09:58:03
2024-10-25 09:58:03,3,BeGreen (bullitt #1),2024-10-25 09:58:03
2024-10-25 09:58:03,4,Purple (omnium),2024-10-25 09:58:03
2024-10-25 09:58:03,5,Haru (bullitt X #2),2024-10-25 09:58:03
2024-10-25 09:58:03,6,Koneko (bullitt #3),2024-10-25 09:58:03
2024-10-25 09:58:03,7,Shiny (josh omnium),2024-10-25 09:58:03
