id,name,guard_name,created_at,updated_at
1,role-view,web,2024-11-17 10:12:40,2024-11-17 10:12:40
2,role-create,web,2024-11-17 10:12:40,2024-11-17 10:12:40
3,role-edit,web,2024-11-17 10:12:40,2024-11-17 10:12:40
4,role-delete,web,2024-11-17 10:12:40,2024-11-17 10:12:40
5,permission-view,web,2024-11-17 10:12:40,2024-11-17 10:12:40
6,permission-create,web,2024-11-17 10:12:40,2024-11-17 10:12:40
7,permission-edit,web,2024-11-17 10:12:40,2024-11-17 10:12:40
8,permission-delete,web,2024-11-17 10:12:40,2024-11-17 10:12:40
9,user-view,web,2024-11-17 10:12:40,2024-11-17 10:12:40
10,user-create,web,2024-11-17 10:12:40,2024-11-17 10:12:40
11,user-edit,web,2024-11-17 10:12:40,2024-11-17 10:12:40
12,user-delete,web,2024-11-17 10:12:40,2024-11-17 10:12:40
13,client-view,web,2024-11-17 10:12:40,2024-11-17 10:12:40
14,client-create,web,2024-11-17 10:12:40,2024-11-17 10:12:40
15,client-edit,web,2024-11-17 10:12:40,2024-11-17 10:12:40
16,client-delete,web,2024-11-17 10:12:40,2024-11-17 10:12:40
17,job-view,web,2024-11-17 10:12:40,2024-11-17 10:12:40
18,job-create,web,2024-11-17 10:12:40,2024-11-17 10:12:40
19,job-edit,web,2024-11-17 10:12:40,2024-11-17 10:12:40
20,job-delete,web,2024-11-17 10:12:41,2024-11-17 10:12:41
21,job-create-chooseAnyPostalCode,web,2024-11-17 10:12:41,2024-11-17 10:12:41
