id,name,guard_name,created_at,updated_at
1,role-view,web,2024-11-18 08:48:18,2024-11-18 08:48:18
2,role-create,web,2024-11-18 08:48:18,2024-11-18 08:48:18
3,role-edit,web,2024-11-18 08:48:18,2024-11-18 08:48:18
4,role-delete,web,2024-11-18 08:48:18,2024-11-18 08:48:18
5,permission-view,web,2024-11-18 08:48:18,2024-11-18 08:48:18
6,permission-create,web,2024-11-18 08:48:18,2024-11-18 08:48:18
7,permission-edit,web,2024-11-18 08:48:18,2024-11-18 08:48:18
8,permission-delete,web,2024-11-18 08:48:18,2024-11-18 08:48:18
9,user-view,web,2024-11-18 08:48:18,2024-11-18 08:48:18
10,user-create,web,2024-11-18 08:48:18,2024-11-18 08:48:18
11,user-edit,web,2024-11-18 08:48:18,2024-11-18 08:48:18
12,user-delete,web,2024-11-18 08:48:18,2024-11-18 08:48:18
13,client-view,web,2024-11-18 08:48:18,2024-11-18 08:48:18
14,client-create,web,2024-11-18 08:48:18,2024-11-18 08:48:18
15,client-edit,web,2024-11-18 08:48:18,2024-11-18 08:48:18
16,client-delete,web,2024-11-18 08:48:18,2024-11-18 08:48:18
17,job-view,web,2024-11-18 08:48:18,2024-11-18 08:48:18
18,job-create,web,2024-11-18 08:48:18,2024-11-18 08:48:18
19,job-edit,web,2024-11-18 08:48:18,2024-11-18 08:48:18
20,job-delete,web,2024-11-18 08:48:18,2024-11-18 08:48:18
21,job-create-chooseAnyPostalCode,web,2024-11-18 08:48:18,2024-11-18 08:48:18
