id,name,guard_name,created_at,updated_at
1,role-view,web,2024-11-04 12:29:06,2024-11-04 12:29:06
2,role-create,web,2024-11-04 12:29:06,2024-11-04 12:29:06
3,role-edit,web,2024-11-04 12:29:06,2024-11-04 12:29:06
4,role-delete,web,2024-11-04 12:29:06,2024-11-04 12:29:06
5,permission-view,web,2024-11-04 12:29:06,2024-11-04 12:29:06
6,permission-create,web,2024-11-04 12:29:06,2024-11-04 12:29:06
7,permission-edit,web,2024-11-04 12:29:06,2024-11-04 12:29:06
8,permission-delete,web,2024-11-04 12:29:06,2024-11-04 12:29:06
9,user-view,web,2024-11-04 12:29:06,2024-11-04 12:29:06
10,user-create,web,2024-11-04 12:29:06,2024-11-04 12:29:06
11,user-edit,web,2024-11-04 12:29:06,2024-11-04 12:29:06
12,user-delete,web,2024-11-04 12:29:06,2024-11-04 12:29:06
13,client-view,web,2024-11-04 12:29:06,2024-11-04 12:29:06
14,client-create,web,2024-11-04 12:29:06,2024-11-04 12:29:06
15,client-edit,web,2024-11-04 12:29:06,2024-11-04 12:29:06
16,client-delete,web,2024-11-04 12:29:06,2024-11-04 12:29:06
17,job-view,web,2024-11-04 12:29:06,2024-11-04 12:29:06
18,job-create,web,2024-11-04 12:29:06,2024-11-04 12:29:06
19,job-edit,web,2024-11-04 12:29:06,2024-11-04 12:29:06
20,job-delete,web,2024-11-04 12:29:06,2024-11-04 12:29:06
21,job-create-chooseAnyPostalCode,web,2024-11-04 12:29:06,2024-11-04 12:29:06
