id,created_at,updated_at,job_id,task_id,status_id,packageType_id,orderNumber,weight,dimensions,quantity,dropoff_adress_line,dropoff_postal_code,dropoff_city,dropoff_country,dropoff_name,packagedropofftimebegin,packagedropofftimeend,name,price,baseQuantityThreshold,maxQuantityThreshold,notes
1,2024-11-04 14:57:43,2024-11-04 14:57:43,,2,10,6,,0,0,1,Unit 10  The Archives,N15 4QN,London,UK,Athlyn Flower,2024-11-01 00:00:00,2024-11-01 00:00:00,,,,,
2,2024-11-14 13:55:59,2024-11-14 13:55:59,,5,10,6,,0,0,1,151-155 New N Rd,N1 6TA,London,UK,JJ media Wimborne,2024-11-15 08:00:00,2024-11-15 08:15:00,,,,,
3,2024-11-14 13:57:45,2024-11-14 13:57:45,,7,10,6,,0,0,1,151-155 New N Rd,N1 6TA,London,UK,jj wimborne,2024-11-15 07:30:00,2024-11-15 07:45:00,,,,,
4,2024-11-14 14:45:56,2024-11-14 14:45:56,,11,10,9,,0,0,1,108 Islington High Street,N1 8eg,London,Uk,Aurelija,2024-11-17 12:15:00,2024-11-17 17:00:00,,,,,
5,2024-11-14 14:47:23,2024-11-14 14:47:23,,13,10,9,,0,0,1,108 Islington High street,N1 8EG,London,Uk,Aurelija,2024-11-17 12:00:00,2024-11-17 17:00:00,,,,,
